date,state,fips,cases,deaths,dtc100,population,deaths100k
2020-05-19,New York,36,357757,28437,7.948691430216599,19453561,146.17889238890504
2020-05-20,New York,36,359235,28540,7.944660180661684,19453561,146.70835843370784
2020-05-21,New York,36,361313,28663,7.9330109904708666,19453561,147.34063341924906
2020-05-22,New York,36,362991,28802,7.934631988120917,19453561,148.055155557381
2020-05-23,New York,36,364745,28900,7.923343705876708,19453561,148.55891936699916
2020-05-24,New York,36,366346,29046,7.928570258717168,19453561,149.30942463438956
2020-05-25,New York,36,367625,29138,7.926011560693641,19453561,149.78234576178625
2020-05-26,New York,36,368669,29241,7.931504954308608,19453561,150.31181180658902
2020-05-27,New York,36,369801,29339,7.933726517775777,19453561,150.81557561620724
2020-05-28,New York,36,371559,29438,7.922833251246773,19453561,151.32447987286236
2020-05-29,New York,36,373108,29535,7.915938548623991,19453561,151.82310323544363
